FIPS,Lat,Lon,County Name,Poverty Estimate,Poverty Rate,Median Household Income,Flood,Hurricane,Severe Storm,Snowstorm,Tornado,Mud/Landslide,Fire,Total Disaster,Risk index,Federally Assisted Rental Homes,Federally Assisted Rental Properties
1001,32.532237,-86.64644,Autauga County,6988,11.8,70148,0,2,1,0,0,0,0,3,0.354,516,8
1003,30.659218,-87.746067,Baldwin County,30195,12.4,71704,0,3,0,0,0,0,0,3,0.372,2417,48
1005,31.870253,-85.405104,Barbour County,5860,26.7,41151,0,3,2,0,0,0,0,5,1.335,1099,22
1007,33.015893,-87.127148,Bibb County,3979,20,54309,0,1,1,0,0,0,0,2,0.4,421,10
1009,33.977358,-86.56644,Blount County,8022,13.6,60553,0,1,3,0,0,0,0,4,0.544,680,15
1011,32.101759,-85.717261,Bullock County,2670,31.5,35798,0,2,0,0,0,0,0,2,0.63,199,7
1013,31.751667,-86.681969,Butler County,4298,23.4,41852,0,4,1,0,0,0,0,5,1.17,868,18
1015,33.770516,-85.827909,Calhoun County,20308,18.5,52772,0,2,1,0,0,0,0,3,0.555,1971,31
1017,32.915504,-85.394032,Chambers County,6962,21,45563,0,1,3,0,0,0,0,4,0.84,694,11
1019,34.069515,-85.654242,Cherokee County,3862,15.5,52613,0,2,1,0,0,0,0,3,0.465,459,10
1021,32.854051,-86.726607,Chilton County,7158,15.8,61823,0,2,1,0,0,0,0,3,0.474,560,12
1023,31.990954,-88.248889,Choctaw County,2554,20.7,44458,0,2,1,0,0,0,0,3,0.621,219,6
1025,31.685521,-87.818624,Clarke County,5204,23.5,44906,0,3,0,0,0,0,0,3,0.705,747,18
1027,33.2704,-85.863525,Clay County,2371,17,49599,0,2,1,0,0,0,0,3,0.51,524,8
1029,33.671964,-85.516126,Cleburne County,2370,15.7,49248,0,1,0,0,0,0,0,1,0.157,178,6
1031,31.402258,-85.989602,Coffee County,8492,15.7,62429,0,3,1,0,0,0,0,4,0.628,948,16
1033,34.703112,-87.801457,Colbert County,9962,17.3,54593,0,1,3,0,0,0,0,4,0.692,1099,15
1035,31.430926,-86.988722,Conecuh County,3329,30.1,36106,0,3,1,0,0,0,0,4,1.204,352,8
1037,32.931445,-86.243482,Coosa County,1813,18.1,49485,0,2,3,0,0,0,0,5,0.905,147,6
1039,31.243987,-86.448721,Covington County,7071,19.2,46958,0,3,2,0,0,0,0,5,0.96,961,19
1041,31.732826,-86.319222,Crenshaw County,2762,21.5,49161,0,3,2,0,0,0,0,5,1.075,404,8
1043,34.131923,-86.869267,Cullman County,14478,16.2,61774,0,1,2,0,0,0,0,3,0.486,1091,23
1045,31.430654,-85.609476,Dale County,9965,20.5,50567,0,3,1,0,0,0,0,4,0.82,1295,28
1047,32.33354,-87.114356,Dallas County,11945,32.9,35258,0,2,2,0,0,0,0,4,1.316,1576,25
1049,34.460929,-85.803992,DeKalb County,13248,18.7,50037,0,1,2,0,0,0,0,3,0.561,1164,25
1051,32.597229,-86.142735,Elmore County,9779,11.7,71463,0,2,2,0,0,0,0,4,0.468,912,20
1053,31.122287,-87.16841,Escambia County,7224,20.9,47792,0,3,0,0,0,0,0,3,0.627,847,21
1055,34.047641,-86.034263,Etowah County,17990,17.7,55487,0,1,1,0,0,0,0,2,0.354,2167,29
1057,33.716157,-87.764292,Fayette County,3092,19.5,49205,0,1,1,0,0,0,0,2,0.39,568,12
1059,34.441989,-87.842814,Franklin County,5804,18.5,49611,0,1,1,0,0,0,0,2,0.37,1043,19
1061,31.092382,-85.821022,Geneva County,4926,18.6,51585,0,4,0,0,0,0,0,4,0.744,434,8
1063,32.844497,-87.9642,Greene County,2206,30,35449,0,1,3,0,0,0,0,4,1.2,579,12
1065,32.752796,-87.623061,Hale County,3294,22.9,44702,0,2,2,0,0,0,0,4,0.916,418,10
1067,31.516978,-85.239971,Henry County,2754,15.8,56702,0,3,1,0,0,0,0,4,0.632,260,9
1069,31.158183,-85.296411,Houston County,18465,17.2,56842,0,4,0,0,0,0,0,4,0.688,1082,18
1071,34.764114,-85.980056,Jackson County,8434,16.1,51965,0,1,2,0,0,0,0,3,0.483,1159,26
1073,33.553444,-86.896536,Jefferson County,106000,16.4,61996,0,1,2,0,0,0,0,3,0.492,13427,153
1075,33.787085,-88.087431,Lamar County,2457,18.1,51523,0,1,2,0,0,0,0,3,0.543,632,14
1077,34.904122,-87.650997,Lauderdale County,12156,13.3,59023,0,1,1,0,0,0,0,2,0.266,1969,36
1079,34.529776,-87.321865,Lawrence County,5402,16.4,55516,0,1,0,0,0,0,0,1,0.164,566,14
1081,32.604064,-85.353048,Lee County,26211,15,59637,0,1,0,0,1,0,0,2,0.3,1889,27
1083,34.810239,-86.981399,Limestone County,10669,9.9,83159,0,1,1,0,0,0,0,2,0.198,1117,19
1085,32.147888,-86.650586,Lowndes County,2814,29.4,42268,0,2,0,0,0,0,0,2,0.588,129,6
1087,32.387027,-85.692887,Macon County,5351,32.4,36601,0,1,2,0,0,0,0,3,0.972,855,18
1089,34.764238,-86.55108,Madison County,44142,11.3,80426,0,1,1,0,0,0,0,2,0.226,4244,54
1091,32.247591,-87.791091,Marengo County,3603,19.5,45587,0,2,0,0,0,0,0,2,0.39,758,17
1093,34.138219,-87.881551,Marion County,5004,17.6,47742,0,1,3,0,0,0,0,4,0.704,1330,22
1095,34.309564,-86.321668,Marshall County,16175,16.5,53388,0,1,1,0,0,0,0,2,0.33,2073,33
1097,30.684572,-88.196568,Mobile County,77450,19.2,54315,0,5,1,0,0,0,0,6,1.152,9576,127
1099,31.580332,-87.383266,Monroe County,3963,20.7,47498,0,3,0,0,0,0,0,3,0.621,576,10
1101,32.202881,-86.204461,Montgomery County,39991,18.4,56862,0,2,0,0,0,0,0,2,0.368,4396,65
1103,34.454484,-86.846402,Morgan County,15935,13.1,62260,0,1,3,0,0,0,0,4,0.524,1898,27
1105,32.639005,-87.293827,Perry County,2714,35.9,33585,0,2,2,0,0,0,0,4,1.436,476,13
1107,33.296793,-88.096863,Pickens County,4007,23.9,45440,0,1,0,0,0,0,0,1,0.239,674,14
1109,31.798651,-85.941604,Pike County,8436,27.4,45144,0,3,1,0,0,0,0,4,1.096,783,15
1111,33.296475,-85.464068,Randolph County,4435,20.3,49433,0,2,3,0,0,0,0,5,1.015,438,15
1113,32.289811,-85.18698,Russell County,12882,22.3,45074,0,2,0,0,0,0,0,2,0.446,1366,16
1115,33.712963,-86.315663,St. Clair County,11548,12.6,70361,0,1,0,0,0,0,0,1,0.126,668,15
