FIPS,Lat,Lon,County Name,Poverty Estimate,Poverty Rate,Median Household Income,Flood,Hurricane,Severe Storm,Snowstorm,Tornado,Mud/Landslide,Fire,Total Disaster,Poverty/DisasterRisk index,Federally Assisted Rental Homes,Federally Assisted Rental Properties,Total Fed. Assisted,Housing Risk Index,Housing Risk Rank,HPI 2018,HPI 2022,HPI Change
1001,32.532237,-86.64644,"Autauga County, AL",6988,11.8,70148,0,2,1,0,0,0,0,3,0.354,516,8,524,3.196728723,807,129.23,166.27,37.04
1003,30.659218,-87.746067,"Baldwin County, AL",30195,12.4,71704,0,3,0,0,0,0,0,3,0.372,2417,48,2465,3.868938178,273,156.36,231.65,75.29
1005,31.870253,-85.405104,"Barbour County, AL",5860,26.7,41151,0,3,2,0,0,0,0,5,1.335,1099,22,1121,3.748575617,342,116.04,156.65,40.61
1007,33.015893,-87.127148,"Bibb County, AL",3979,20,54309,0,1,1,0,0,0,0,2,0.4,421,10,431,2.935507266,1094,142.6,185.47,42.87
1009,33.977358,-86.56644,"Blount County, AL",8022,13.6,60553,0,1,3,0,0,0,0,4,0.544,680,15,695,3.444044796,567,132.24,187.14,54.9
1011,32.101759,-85.717261,"Bullock County, AL",2670,31.5,35798,0,2,0,0,0,0,0,2,0.63,199,7,206,2.614897216,1463,0,0,0
1013,31.751667,-86.681969,"Butler County, AL",4298,23.4,41852,0,4,1,0,0,0,0,5,1.17,868,18,886,3.646403726,413,124.98,154.93,29.95
1015,33.770516,-85.827909,"Calhoun County, AL",20308,18.5,52772,0,2,1,0,0,0,0,3,0.555,1971,31,2002,3.778585328,320,132.61,182.5,49.89
1017,32.915504,-85.394032,"Chambers County, AL",6962,21,45563,0,1,3,0,0,0,0,4,0.84,694,11,705,3.450249108,561,132.82,182.95,50.13
1019,34.069515,-85.654242,"Cherokee County, AL",3862,15.5,52613,0,2,1,0,0,0,0,3,0.465,459,10,469,3.148294097,868,143.4,214,70.6
1021,32.854051,-86.726607,"Chilton County, AL",7158,15.8,61823,0,2,1,0,0,0,0,3,0.474,560,12,572,3.234517284,765,130.83,185.22,54.39
1023,31.990954,-88.248889,"Choctaw County, AL",2554,20.7,44458,0,2,1,0,0,0,0,3,0.621,219,6,225,2.829303773,1223,.,.,0
1025,31.685521,-87.818624,"Clarke County, AL",5204,23.5,44906,0,3,0,0,0,0,0,3,0.705,747,18,765,3.36078269,656,141.43,170.31,28.88
1027,33.2704,-85.863525,"Clay County, AL",2371,17,49599,0,2,1,0,0,0,0,3,0.51,524,8,532,3.203032887,797,.,.,0
1029,33.671964,-85.516126,"Cleburne County, AL",2370,15.7,49248,0,1,0,0,0,0,0,1,0.157,178,6,184,2.264817823,1792,141.62,197.58,55.96
1031,31.402258,-85.989602,"Coffee County, AL",8492,15.7,62429,0,3,1,0,0,0,0,4,0.628,948,16,964,3.586137025,463,144.86,187.4,42.54
1033,34.703112,-87.801457,"Colbert County, AL",9962,17.3,54593,0,1,3,0,0,0,0,4,0.692,1099,15,1114,3.648945182,411,142.22,201.62,59.4
1035,31.430926,-86.988722,"Conecuh County, AL",3329,30.1,36106,0,3,1,0,0,0,0,4,1.204,352,8,360,3.158362492,852,.,.,0
